Channel Name,Channel ID,Social ID
LikeNastya_PRT,UCtyr6UXUdZJJHuWGKzoiLfg,channel
SesameStreet,UCoookXUzPciGrEZEXmh4Jjg,channel
invictorgs3,UChOQkbLHWi3zSCUjT7Kjd1g,channel
Jelly,UC0DZmkupLYwc0yDsfocLh0A,channel
IshtarPunjabi,UCopY0NAzASqmD6eVaRj2TFQ,channel
iamneetubisht,UCDwhsmzFDLc5hOB6SUglAjg,channel
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,channel
royaltyfam,UCja7QUMRG9AD8X2F_vXFb9A,channel
NetflixIndiaOfficial,UCZSNzBgFub_WWil6TOTYwAg,channel
DrossRotzank,UCNYW2vfGrUE6R5mIJYzkRyQ,channel
SSundee,UCke6I9N4KfC968-yRcd5YRg,channel
BayashiTV_,UCbCJmNKAL85O1VFeD6Wj60g,channel
pawansahu777,UCpO_iMOOEhShBMxcXgJs7Yw,channel
dualipa,UC-J-KZfRV8c13fOCkhXdLiQ,channel
rotanamusic,UCNhqvQMXIgRfjAGmxQqdNRw,channel
sia,UCN9HPn2fq-NL8M5_kp4RWZQ,channel
IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,channel
VijayTelevision,UCvrhwpnp2DHYQ1CbXby9ypQ,channel
jaanvipatel,UCRqs0TZOqe5nrwP-BrdnCjg,channel
disneyla,UCq3zaHCaZtb3TtNwwz0PK2w,channel
fgteev,UCC-RHF_77zQdKcA75hr5oTQ,channel
HappyMonkeyy,UCWlK0s4T4gyLavYiQTpSzKQ,channel
mmoshaya,UCPOw2O3_uZ1doro9iR4x6vw,channel
somoynews360,UCxHoBXkY88Tb8z1Ssj6CWsQ,channel
EvaBravoPlay,UCvYhgH0hXziSz9IyPztzUug,channel
news18India,UCPP3etACgdUWvizcES1dJ8Q,channel
TlnovelasOficial,UCKyU-wd-KY4PMOcOpPQgQcw,channel
NatGeo,UCpVm7bg6pXKo1Pr6k5kxG9A,channel
khangsresearchcentre1685,UCatL-c6pmnjzEOHSyjn-sHA,channel
THECHAINSMOKERS,UCq3Ci-h945sbEYXpVlw7rJg,channel
BeastPhilanthropy,UCAiLfjNXkNv24uhpzUgPa6A,channel
gmapublicaffairs,UCj5RwDivLksanrNvkW0FB4w,channel
deepesh_zo,UC9VEW1NhLouw1vbW6p4cACw,channel
infinite,UC_hSjGOO67A6gIDUcyuv_8A,channel
_vector_,UCzJ53fi4NuDCYWOk9PtEkCA,channel
SonyAATH,UCBz9qbqujcjIavFmBJW2oZw,channel
charlieputh,UCwppdrjsBPAZg5_cUwQjfMQ,channel
unboxtherapy,UCsTcErHg8oDvUnTzoqsYeNw,channel
PragatiVermaaShorts,UCZcR0eG70cbq044cb_OH3Qw,channel
NarendraModi,UC1NF71EwP41VdjAU1iXdLkw,channel
PandaShorts,UCEYlNI8wno2Xp7YUNdMN22A,channel
JakeFellman,UCEnqwW6f7bYidXHAI13hhMA,channel
7clouds,UCNqFDjYTexJDET3rPDrmJKg,channel
korayzeynep,UCTAacyv5T4cSus1W4D6eBfA,channel
corbuzier,UCYk4LJI0Pr6RBDWowMm-KUw,channel
Filaretiki,UC7Lta_EuGv5BXoLTpUutvBA,channel
BigSchoolMinecraft,UC-Diq5SjWZDol8C0_E_1Y7A,channel
smilefamily363,UCjZ-Ekz7JDN6GDXwusvSHvg,channel
tarik_alhalapi,UCoIPNS4wYsQV4_XV2wSaxyw,channel
kurzgesagt,UCsXVk37bltHxD1rDPwtNM8Q,channel
