Channel Name,Channel ID,Social ID
kurzgesagt,UCsXVk37bltHxD1rDPwtNM8Q,channel
WowKidzAction,UCCyKsYaRi62axS-kasXW7wA,channel
rkddigital,UCjBwQ6M9QyCgO5Pp-TQRFUA,channel
viralhog,UC3339WgBDKIcxTfywuSmG8w,channel
BabyBusID,UC5v3gjCQLFeg8eBXO7ShdpQ,channel
KiddiestvHindi,UCvEAgG7WzPZnZkf9iOV_YCg,channel
goldminesgreatindiancomedy2048,UC76Yc75RGWonijH02CIhPaw,channel
lyricalemonade,UCtylTUUVIGY_i5afsQYeBZA,channel
degoboom,UCj9rK3jt8qmih4mZX0UL67g,channel
LazarBeam,UCw1SQ6QRRtfAhrN_cjkrOgA,channel
fatosdesconhecidos,UCbAiIkPobUFy71zlmwVw3jw,channel
AjaKitchen,UCOh01Sv2bdi_hjci9tOH7Mg,channel
NBA,UCWJ2lWNubArHWmf3FIHbfcQ,channel
cainguzman,UCubB4RJhGFvqfP5z5t7Q0cQ,channel
SusyMouriz,UC2Rh-eKkibnZq8pRxYYoSSQ,channel
NinjaKidz,UCpZ88DWlKW0H_AYDaUZptcw,channel
triggeredinsaan,UCfLuT3JwLx8rvHjHfTymekw,channel
officialajaysharma07,UCthYQycNvy1TfeTzzR4S2dA,channel
Miawaug,UC3J4Q1grz46bdJ7NJLd4DGw,channel
buzzfeedtasty,UCJFp8uSYCjXOMnkUyb3CQ3Q,channel
BraveWilderness,UC6E2mP01ZLH_kbAyeazCNdg,channel
YounesZarou,UClR74BSOFXxMOKtuaaPu91Q,channel
BaimPaula,UC5xAPCVizxOfnMECMXkal2Q,channel
MrVivekBindra,UCR-foyF-C6VuAlwy3KZMkgA,channel
LinkinPark,UCZU9T1ceaOgwfLRq7OKFU4Q,channel
busyfunltd9692,UCkKDpnzIG29MA--Sh6oOtWg,channel
Cookieswirlc,UCelMeixAOTs2OQAAi9wU8-g,channel
RepublicTVBharat,UC7wXt18f2iA3EDXeqAVuKng,channel
JoseComilaoTotoy,UCy7whoHQXzhYxp9AQmrPFVw,channel
EmiwayBantai,UCHmk8iNJHvf5mGN6_pkPc7g,channel
Chapitosiki,UCXmseTCR4w5q36pupOJKegw,channel
cure0721,UCkLNHZZsC3LKdUAroKNwOOw,channel
Sidemen,UCDogdKl7t7NHzQ95aEwkdMw,channel
BispoBrunoLeonardo,UCVNouUw3d3l5JYVCxhAQXKA,channel
DharMann,UC_hK9fOxyy_TM8FJGXIyG8Q,channel
Mnet,UCbD8EppRX3ZwJSou-TVo90A,channel
soysuco24,UCIpp0Pb8H3K-Htb-WOF9DBw,channel
PinkPanther,UCFeUyPY6W8qX8w2o6oSiRmw,channel
RobinHoodGamer1,UCYtaoJSk9iIrFxx8eZB15ag,channel
SlivkiShow,UCU_yU4xGT9hrVFo6euH8LLw,channel
andtvchannel,UCxJcrDUc8awRSLzLbnIiAmQ,channel
TaarakMehtaKaOoltahChashmah,UCnSFZ-olBoLGLRUS_3RI2Aw,channel
howridiculous,UC5f5IV0Bf79YLp_p9nfInRA,channel
gottalentglobal,UCe_Fx4EZAgKjDz0aQ_Y7hSA,channel
gusttavolimaoficial,UCXooz9whNJZBRTHi9AqdjPw,channel
greengoldtv,UCiBigY9XM-HaOxUc269ympg,channel
5MinuteCraftsDIY,UC2etEuPIfohP4P53wM0KImA,channel
mariano_razo,UCLYqpLGnCoQfcD7BdDKsSxQ,channel
gordonramsay,UCIEv3lZ_tNXHzL3ox-_uUGQ,channel
etvteluguindia,UCSs9H1cyB3OHdy8wkit8ZKg,channel
